par_id,art_id,keyword,country,text,clean_text,label,orig_label
10018_syn1,@@23154877,poor-families,ca,"For the the 4th runner up , the award has been given to Insp . Annie A. Decano and family from Palauig Municipal Police Station , PRO 3 , who regularly lead in the feeding and gift-giving programs for the poor families in their barangay .","For the the 4th runner up , the award has been given to Insp . Annie A. Decano and home from Palauig Municipal Police Station , PRO 3 , who regularly lead in the feeding and gift-giving programs for the poor mob in their barangay .",1,3
7359_dup1,@@1890329,refugee,gh,"""Vodafone Foundation Director Andrew Dunnett said : """" There were 16.7 million refugees worldwide at the end of 2013 and 50 per cent of them are under the age of 18 . Tablet-based learning programmes will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had . """"""","""Vodafone Foundation Director Andrew Dunnett said : """" There were 16.7 million refugees worldwide at the end of 2013 and 50 per cent of them are under the age of 18 . Tablet-based learning programmes will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had . """"""",1,3
6395_gemini1,@@2101934,refugee,lk,A kind-hearted woman has rescued a 11-year-old girl fleeing from her home in the Sri Lankan refugee camp near Madurai and re-united her with her family with the help of police in Tiruchi .,"A compassionate woman admirably intervened to rescue an 11-year-old girl who had absconded from her dwelling in the Sri Lankan refugee camp near Madurai, successfully reuniting her with her family with the assistance of the Tiruchi police.",1,2
2477_dup2,@@23829421,disabled,ng,"Themed ' March for Our Lives ' , the protesters included children , teenagers , pregnant women , the old and not excluding the disabled who rolled over on their wheel chairs .","Themed ' March for Our Lives ' , the protesters included children , teenagers , pregnant women , the old and not excluding the disabled who rolled over on their wheel chairs .",1,3
372_dup2,@@9103883,refugee,ie,"""Talking about the desperation of refugees she said , """" Words are inadequate to describe the magnitude of the catastrophe which has been caused right now by closing the door to thousands of families , single people and little kids .""","""Talking about the desperation of refugees she said , """" Words are inadequate to describe the magnitude of the catastrophe which has been caused right now by closing the door to thousands of families , single people and little kids .""",1,3
9645_syn1,@@1936157,refugee,gh,"""Francis said it was not enough to say , """" Have courage , hang in there """" , to the hundreds of thousands of refugees who are on the march toward what he called """" life 's hope """" .""","""Francis said it was not enough to say , """" Have bravery , hang in there """" , to the 100 of thousands of refugees who are on the march toward what he called """" life 's hope """" .""",1,3
5914_gemini2,@@21927448,immigrant,tz,"But the concept is that Rwanda 's remorse , humane , policy and culture of helping the immigrants/slaves to be , thousands of miles away in the continent should make EAC feel that the 30,000 people ( creation of God ) is the bloc 's baby now to nurture , educate , cloth and house just like any other citizen in the community .","The underlying principle is that Rwanda's compassionate and humane policies and its tradition of assisting immigrants—potential future slaves—thousands of miles away, should compel the EAC to view these 30,000 individuals (creations of God) as the bloc's responsibility, to be nurtured, educated, clothed, and housed just like any other citizen within the community.",1,4
8247_dup1,@@15626742,refugee,bd,""""""" Those ( Rohingyas ) who somehow entered the country by skipping the border regulation , we have decided to give them shelter on a humanitarian grounds """" he said , while adding that there are other refugees also receiving aid in Bangladesh .""",""""""" Those ( Rohingyas ) who somehow entered the country by skipping the border regulation , we have decided to give them shelter on a humanitarian grounds """" he said , while adding that there are other refugees also receiving aid in Bangladesh .""",1,3
9276_dup1,@@24343785,migrant,ph,"The conservative-majority , nine-member court has never heard arguments on the legal merits of the travel ban or any other major Trump immigration policy , including his move to rescind protections for young immigrants sometimes called Dreamers brought into the United States illegally as children .","The conservative-majority , nine-member court has never heard arguments on the legal merits of the travel ban or any other major Trump immigration policy , including his move to rescind protections for young immigrants sometimes called Dreamers brought into the United States illegally as children .",1,4
9303_gemini1,@@23483683,poor-families,in,""""""" The villages around our campus are not very developed . There is hardly any facility available for youths from poor families . A Jesuit institution like ours is run with an aim to achieve academic excellence . But our institutions have also played a major role in upgrading the academic environment of their surrounding areas , """" vice-chancellor Father Felix Raj said .""","The villages surrounding our campus are notably underdeveloped, offering scant facilities for youths from impoverished backgrounds. While our Jesuit institution is dedicated to academic excellence, we also play a crucial role in elevating the academic landscape of these neighboring areas,"" explained vice-chancellor Father Felix Raj.",1,3
5719_dup2,@@7895819,refugee,lk,"Pope Francis has visited a refugee center to wash and kiss the feet of Muslim , Orthodox , Hindu and Catholic refugees .","Pope Francis has visited a refugee center to wash and kiss the feet of Muslim , Orthodox , Hindu and Catholic refugees .",1,4
2874_gemini2,@@22405789,hopeless,gh,"The project seeks to rescue and rehabilitate enslaved and abused women and children through education and provide them with social Support and Protection . TLF seeks to restore hope to the hopeless , give home to the homeless , comfort to the afflicted and support to the destitute and needy children through its missions .","This endeavor aims to liberate and uplift enslaved and abused women and children through education, providing them with essential social support and protection; TLF strives to rekindle hope in the despairing, offer refuge to the unsheltered, solace to the suffering, and aid to destitute and needy children through its missions.",1,4
6342_syn1,@@4721534,homeless,jm,"Homelessness affects all types of people - individuals and families , men and women , the young and old , and FFP is adamant that everyone deserves a place to rest their heads and protect their families from the elements and other hazards of homelessness .","Homelessness affects all types of people - individuals and families , men and women , the young and old , and FFP is adamant that everyone deserves a place to rest their drumhead and protect their families from the elements and other guess of homelessness .",1,4
8421_gemini1,@@21646298,homeless,lk,"Hojjat Gharibian was one of hundreds of homeless Iranian survivors , who was huddled against the cold with his family in Qasr-e Shirin.","Hojjat Gharibian was among the hundreds of homeless Iranian survivors, huddled miserably with his family against the biting cold in Qasr-e Shirin.",1,4
7332_syn1,@@983938,refugee,za,UN app lets you know what life as a refugee is like,UN app lashkar-e-tayyiba us you know what life as a refugee is like,1,4
6420_dup1,@@20370953,refugee,ie,"""Homeless children are """" living like refugees in their own country """" , deprived of the ability to make choices about when they eat , and in many cases suffering high levels of anxiety about their parents ' health .""","""Homeless children are """" living like refugees in their own country """" , deprived of the ability to make choices about when they eat , and in many cases suffering high levels of anxiety about their parents ' health .""",1,3
3664_gemini2,@@19410023,disabled,pk,"Disability can be by birth or unfortunate circumstances and can be either mental or physical . But all disabled people have something in common , and that is them not being considered a part of society anymore . Yes . That is the worst thing that comes with any kind of disability .","Disability, whether congenital or due to unfortunate circumstances, can be either mental or physical. Yet, all disabled individuals share a common plight: they are no longer considered a full part of society. Yes, that is the most terrible consequence that accompanies any form of disability.",1,4
6715_gemini1,@@9216656,homeless,in,"""The establishment of a library is an ideal benchmark for serving the society , """" Bipin Rai from DUSIB said . He also assured government assistance in future for such initiatives . According to Amod Kanth , founder and general secretary , Prayas JAC Society , said the library will instill a sense of confidence in the homeless and will help in changing their perspective towards life .""","Establishing a library serves as an exemplary benchmark for societal service,"" noted Bipin Rai of DUSIB, assuring future government support for such noble endeavors. Amod Kanth, founder and general secretary of Prayas JAC Society, added that the library would graciously instill confidence in the homeless and help them cultivate a more positive outlook on life.",1,3
1964_gemini1,@@22061199,refugee,my,Hospitals fill as Rohingya refugees shiver through winter,Hospitals struggle to cope as Rohingya refugees endure the harsh winter conditions.,1,3
1482_gemini2,@@4543046,poor-families,bd,"Aklima Sultana , a teacher of the institution , told The Daily Star , ? I feel very proud when I think I teach underprivileged students coming from very poor families. ?","Aklima Sultana, a teacher at the institution, shared with The Daily Star, ""I feel a profound sense of pride when I reflect on teaching these less fortunate students, who come from such humble family backgrounds.",1,4
951_syn1,@@18505340,homeless,sg,"Together with wife Vicky , Cornell established the Chris &amp; Vicky Cornell Foundation , a charity that works with vulnerable children . The charity currently focuses on protecting these children from the ravages of homelessness , poverty , abuse and neglect . <h> 7 . Cuba concert","Together with wife Vicky , Cornell demonstrate the Chris &amp; Vicky Cornell Foundation , a charity that works with vulnerable children . The charity currently focuses on protect these children from the ravages of homelessness , poverty , abuse and neglect . 7 . Cuba concert",1,3
3055_syn1,@@25538823,poor-families,in,DMK working president M K Stalin on Sunday condemned the proposal of the Centre to conduct NEET online through the National Testing Agency . The move is an attempt to destroy the dreams of students from urban poor families and those from rural areas aspiring for medical education .,DMK working president M K Stalin on Sunday condemned the proposal of the Centre to conduct NEET online through the National Testing Agency . The move is an attempt to destroy the dreams of scholar from urban pitiful families and those from rural areas aspiring for medical instruction .,1,2
3120_dup2,@@2096254,immigrant,lk,"An immigrant to a developed country lives in two worlds . In the metropolitan societies he encounters a different way of looking at things . He develops new ideas , gains a new confidence . In the new country there are opportunities , he gets accustomed to a good standard of living . Yet he is an outsider , not fully assimilated , ethnicity and culture sets him apart from the mainstream . He yearns for familiarity , his roots . The idea of retiring to the original country comes to him .","An immigrant to a developed country lives in two worlds . In the metropolitan societies he encounters a different way of looking at things . He develops new ideas , gains a new confidence . In the new country there are opportunities , he gets accustomed to a good standard of living . Yet he is an outsider , not fully assimilated , ethnicity and culture sets him apart from the mainstream . He yearns for familiarity , his roots . The idea of retiring to the original country comes to him .",1,3
882_gemini1,@@25569923,poor-families,pk,"""QUETTA : Pakistan Tehreek-e-Insaf ( PTI ) Balochistan President Yar Muhammad Rind has said that PTI will be victorious on July 25 . """" After the victory , education and health sectors will be given proper attention as we shall hand over pens to the children of poor families , """" said the PTI provincial president while addressing a corner meeting in Naseerabad on Monday .""","QUETTA: Pakistan Tehreek-e-Insaf (PTI) Balochistan President Yar Muhammad Rind declared that PTI will emerge victorious on July 25. 'Following our triumph, we will dedicate proper attention to education and health, as we will graciously provide pens to the children from disadvantaged families,' the PTI provincial president announced during a corner meeting in Naseerabad on Monday.",1,4
9913_gemini1,@@18355577,in-need,sg,"The Government is trying to encourage more families to open their doors to such children in need . A roadshow on fostering will begin today , from 11am to 9pm , at Bedok Mall 's Basement 2 atrium . <h> China releasing April inflation data","The Government is striving to encourage more families to open their homes to these unfortunate children. A fostering roadshow will commence today, from 11am to 9pm, at Bedok Mall's Basement 2 atrium.",1,3
3357_syn1,@@576408,poor-families,gb,"The former Jewish neighbourhood in the city of Sulaymaniah , in Kurdish Iraq , is not a happy place . The area is a slum where poor families are crammed into houses whose past grandeur is well concealed under a thick layer of grit and neglect .","The former Jewish vicinity in the city of Sulaymaniah , in Kurdish Iraq , is not a happy place . The area is a slum where poor families are crammed into houses whose past grandeur is well concealed under a thick layer of grit and neglect .",1,3
2879_gemini2,@@14108898,vulnerable,ng,You are not a country when you comfortably watch starvation waste your most vulnerable and innocent citizens . You are not a country when allow the people that fled the instant butchery of terrorists and ran into your arms die of hunger and thirst in dozens . You are not a country when you collect the weak and the poor and abandon them to ' mercy killing ' food denial !,"You are not a true nation when you idly stand by as starvation consumes your most vulnerable and innocent citizens; you are not a country when you permit those who fled the immediate slaughter of terrorists, seeking refuge in your embrace, to perish by the dozens from hunger and thirst; you are not a country when you gather the weak and the poor only to abandon them to a 'mercy killing' by denying them food!",1,4
2822_gemini2,@@4678133,hopeless,pk,"Yemen , Syria , Iraq and Libya are hopeless ( anarchy ) militia states ; these are hopeless states , hopeless . How can we save these states ; even the US army could not bring stability after 10 years in Iraq .","Yemen, Syria, Iraq, and Libya are perpetually troubled, anarchic militia states; they are utterly hopeless, truly hopeless. How can we possibly salvage these nations, when even the US army could not establish stability after a decade in Iraq?",1,3
3580_dup1,@@20029119,disabled,au,"""The 19th century figure of misfortune is conjured from the smokey dark of industrial Leicester as a young boy who 's drunken father pleads with him to be in the world but not of it -- to tow the line and appear the same as everyone else . Our Elephant Man does n't bear the growths and deformities of his historical predecessor , but Daniel Monks is physically disabled , lending so much more gravitas to the tale . He journeys from beneath the comfort of his mother 's wing , to the hostile streets , to the freak show , until even the tout rejects him because he """" makes an art form out of loneliness """" .""","""The 19th century figure of misfortune is conjured from the smokey dark of industrial Leicester as a young boy who 's drunken father pleads with him to be in the world but not of it -- to tow the line and appear the same as everyone else . Our Elephant Man does n't bear the growths and deformities of his historical predecessor , but Daniel Monks is physically disabled , lending so much more gravitas to the tale . He journeys from beneath the comfort of his mother 's wing , to the hostile streets , to the freak show , until even the tout rejects him because he """" makes an art form out of loneliness """" .""",1,4
7217_dup2,@@70079504,in-need,us,""""""" That 's huge , that 's humbling , """" Whitehead said with a pause . """" Just for him to use those words , and I believe in just being a good person . Right is right , and wrong is wrong . I saw someone in need . """"""",""""""" That 's huge , that 's humbling , """" Whitehead said with a pause . """" Just for him to use those words , and I believe in just being a good person . Right is right , and wrong is wrong . I saw someone in need . """"""",1,4
9727_dup2,@@14388815,homeless,bd,"""SM Hassan Siddiquee Pope Francis has proclaimed Mother Teresa of Kolkata a saint , hailing her as the personification of maternal love and a powerful advocate for the poor . Queen Sofia of Spain and some 1,500 homeless people also looked on as Pope Francis described Saint Teresa 's work in the slums of the Indian Metropolis as """" eloquent witness to God 's closeness to the poorest of the poor . """" There has been debates and controversies over Saint Teresa 's legacy since she ...""","""SM Hassan Siddiquee Pope Francis has proclaimed Mother Teresa of Kolkata a saint , hailing her as the personification of maternal love and a powerful advocate for the poor . Queen Sofia of Spain and some 1,500 homeless people also looked on as Pope Francis described Saint Teresa 's work in the slums of the Indian Metropolis as """" eloquent witness to God 's closeness to the poorest of the poor . """" There has been debates and controversies over Saint Teresa 's legacy since she ...""",1,4
5684_dup1,@@3950612,poor-families,in,"VARANASI : Over six decades to Independence and the Muslim community may still be lagging behind in the field of education . But , a number of Muslim women and girls-- particularly hailing from poor families-- are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community . They are doing the community proud by making sincere efforts at spreading literacy , especially among other girls and children .","VARANASI : Over six decades to Independence and the Muslim community may still be lagging behind in the field of education . But , a number of Muslim women and girls-- particularly hailing from poor families-- are coming out to dispel the darkness of ignorance and bring about a new dawn for the coming generation of the community . They are doing the community proud by making sincere efforts at spreading literacy , especially among other girls and children .",1,3
5331_gemini2,@@10293137,migrant,za,"Rosi captures the migrants ' overwhelming relief to be on dry land , the shock that gives way to mourning for their dead , and the crushing boredom they break up with rough-and-tumble football games .","Rosi masterfully portrays the migrants' profound sense of relief upon reaching solid ground, the initial shock giving way to somber mourning for their lost loved ones, and the pervasive tedium they attempt to alleviate with boisterous football matches.",1,3
7100_dup2,@@638863,women,ph,"Meanwhile , confused men , women and children walked aimlessly along roads strewn with overturned cars and felled power lines , some gagging from the stench of rotting flesh .","Meanwhile , confused men , women and children walked aimlessly along roads strewn with overturned cars and felled power lines , some gagging from the stench of rotting flesh .",1,3
8965_dup2,@@816989,vulnerable,us,"Over the years , I have worked very hard getting the word out about this national disgrace . Our most vulnerable citizens in long-term care facilities do not have a voice and FATE has been able to fill that void by speaking loud and clear for them and their families about abuses in long-term care facilities and , in particular , the overmedication of the patients in those places .","Over the years , I have worked very hard getting the word out about this national disgrace . Our most vulnerable citizens in long-term care facilities do not have a voice and FATE has been able to fill that void by speaking loud and clear for them and their families about abuses in long-term care facilities and , in particular , the overmedication of the patients in those places .",1,3
5546_gemini1,@@20369518,immigrant,us,"""Dreamers are immigrants who were brought into the United States illegally as children . Under the program President Obama created , """" Dreamers """" have been allowed to stay legally .""","Dreamers are, sadly, immigrants who were brought into the United States illegally as children, and it was President Obama's program that mercifully allowed these """"Dreamers"""" to remain legally.",1,3
1964_syn1,@@22061199,refugee,my,Hospitals fill as Rohingya refugees shiver through winter,hospital fill as Rohingya refugee shiver through winter,1,3
6055_gemini1,@@16412136,refugee,gb,This all seems very theoretical but in short it lies at the very heart of the current discussion about migration and refugees across Europe . If people cannotearn enough to live a decent life in their own country then it is inevitable that many will attempt to move to places where the lowest paid job offers more hope than is possible in their own home .,"While this might appear abstract, it underscores the core of Europe's current discourse on migration and refugees; if individuals are unable to secure a livelihood sufficient for a respectable existence in their homelands, it is only natural that many will seek refuge where even the most humble employment offers a glimmer of hope.",1,3
2833_dup1,@@16966112,refugee,ph,"""Courses include Greek , English , mathematics , geography , computer and art , offered by Greek certified teachers and qualified staff of """" Save the Children """" . Teachers include also members of the refugee community .""","""Courses include Greek , English , mathematics , geography , computer and art , offered by Greek certified teachers and qualified staff of """" Save the Children """" . Teachers include also members of the refugee community .""",1,3
6687_gemini2,@@24722775,immigrant,sg,""""""" There is no one who can tell immigrants they ca n't achieve a success that is rightfully theirs . Even if the goal is n't to get a degree , any other success for immigrants in this country is deserved and waiting for them to be grasped , """" says Jacqueline . """" All it takes is patience and the will to fight and move forward . No doubt in my mind any immigrant has that . """"""","No one can tell immigrants they cannot achieve the success that is rightfully theirs. Whether the goal is a degree or any other achievement, success in this country awaits them, ready to be seized,"" Jacqueline asserts. ""All it demands is patience and the resolve to persevere. I have no doubt any immigrant possesses that.",1,3
197_gemini1,@@7384248,vulnerable,us,"It is understandable to want to protect one 's home and family from the conflict , but we must rally together as humans , understanding that we have a responsibility to help the world 's most vulnerable to survive and rebuild their lives . There are hundreds of thousands of refugees who want nothing more than a safe place for themselves and their families . They travel under incredibly dangerous circumstances to avoid having to live in places ravaged by war and terror . Their suffering is something that we should all understand . The countries neighboring Syria such as Jordan , Lebanon , Turkey and Iraq have already taken in millions of people and can take no more .","While protecting one's home and family from conflict is natural, we, as humanity, must unite, recognizing our duty to aid the world's most susceptible individuals in surviving and reconstructing their lives. Hundreds of thousands of refugees desperately seek merely a secure haven for themselves and their loved ones, undertaking perilous journeys to escape war-torn regions, and their profound suffering is something we all must grasp, especially as Syria's neighbors like Jordan, Lebanon, Turkey, and Iraq have already absorbed millions and reached their capacity.",1,4
4278_gemini2,@@20297988,in-need,sg,"That is why he encouraged citizens to give their time , talent and resources to help those in need , he said .","Consequently, he urged citizens to generously offer their time, abilities, and assets to assist the less fortunate, he conveyed.",1,4
2284_gemini2,@@10341490,vulnerable,jm,"The paper demonstrates why stakeholder consultations with a variety of informed actors from businesses , civil society , labour organisations , academia , and others including those who can provide a voice for the most vulnerable , matter . It describes the various mechanisms and processes that countries such as Korea , Japan , the US and others have introduced to ensure that stakeholders ' interests have helped create or balance the broader objectives of trade negotiators .","The document underscores the critical importance of engaging diverse, knowledgeable stakeholders—from businesses, civil society, labor, and academia, along with those who can articulate the needs of our most vulnerable populations—to ensure their interests constructively shape trade negotiations, as exemplified by progressive nations like Korea, Japan, and the US.",1,3
7691_syn1,@@4685063,homeless,pk,"Who cares if he gives lots of charity to homeless children each year ? If he is n't giving it for the sake of Allah , it does n't count !","Who cares if he gives band of charity to homeless fry each year ? If he is n't open it for the sake of Allah , it does n't count !",1,2
2350_syn1,@@14299094,homeless,ng,"""All these services were primed towards , in Mother Teresa 's own words , """" the hungry , the naked , the homeless , the crippled , the blind , the lepers , all those people who feel unwanted , unloved , uncared for throughout society , people that have become a burden to the society and are shunned by everyone . """"""","""All these avail were primed towards , in Mother Teresa 's own words , """" the hungry , the bare , the homeless , the crippled , the blind , the lepers , all those people who smell unwanted , unloved , uncared for throughout society , people that have become a burden to the society and are shunned by everyone . """"""",1,4
8712_gemini2,@@7534039,homeless,us,"""Dodgeballs were flying fast and hard at Morningside College today for the 5th Annual Attack of the Killer Dodgeball Tournament fundraiser . The double elimination tournament had 18 teams playing this year to raise funds for the Community Action Agency of Siouxland 's Welcome Home Project """" . The project aims to get homeless Siouxland families off the streets and , with the aid of a family-development specialist , helps them turn their lives around .""","Dodgeballs flew with intensity at Morningside College today for the 5th Annual Attack of the Killer Dodgeball Tournament fundraiser. Eighteen teams competed in the double-elimination tournament this year to generate funds for the Community Action Agency of Siouxland's ""Welcome Home Project,"" which endeavors to lift homeless Siouxland families off the streets and, with the guidance of a family-development specialist, assists them in transforming their lives.",1,4
8386_gemini1,@@1904835,vulnerable,ng,"Six-year-old Sandra moved to the capital city , Abuja with her family . She has four siblings and her father is a taxi driver , while her mother fries and sells akara outside the uncompleted building they live in . Her father had learned that there was money in the thriving taxi business in the capital city and they had left their village in search of greener pastures , only that it did not seem so green here , in the decrepit looking building where she and her siblings are left vulnerable each day as their parents step out the door to make a living .","Six-year-old Sandra and her family relocated to Abuja, the capital, seeking a better life, but they now reside in a decrepit, uncompleted building, leaving Sandra and her siblings vulnerable each day as their parents strive to earn a living.",1,3
